premise,choice1,choice2,question,label,idx,changed
The item was wrapped in stamped plastic.,It was delicate.,He was young.,cause,0,0,False
I had emptied my pockets.,I pulled out a ticket stub.,I found a weapon.,effect,0,1,False
Termites invaded the house.,Termites disappeared from the house.,Termites rose the wood of the house.,effect,1,2,False
The travelers reached the border.,The patrol officer checked their passports.,The patrol officer accused them of smuggling.,effect,0,3,False
The office was closed.,It was vacation.,It was summer.,cause,0,4,False
The girl ran out of energy.,He had played checkers.,He had jumped rope.,cause,1,5,False
The woman had lost her place in line.,More people lined up.,She had left the line.,cause,1,6,False
The girl had held her nose.,The baby had been drooling on the bib.,The baby had soiled her diaper.,cause,1,7,False
The group played their hit song.,The audience cheered to the beat of the music.,The audience listened politely in silence.,effect,0,8,False
The girl wanted to thank the math teacher.,The girl stayed after school as punishment.,The girl brought an apple to the teacher.,effect,1,9,False
The young campers were scared.,The animator told them a story of fear.,They toasted marshmallows on the bonfire.,cause,0,10,False
The man banged his head.,He got lost in his thoughts.,He suffered a concussion.,effect,1,11,False
The check I had formed was uncovered.,My bank account was empty.,I had received a pay raise.,cause,0,12,False
The man's inbox was full of spam.,He deleted the spam.,He sent a mass email.,effect,0,13,False
The sailor was quarantined.,He had been exposed to the disease.,He recovered from the disease.,cause,0,14,False
The girl had memorized the code.,He had recited it to himself.,She had forgotten to write it down.,cause,0,15,False
I poured the water into the glass.,The water satisfied my thirst.,The glass filled.,effect,1,16,False
The man was silent when his friend finished speaking.,He wanted to offer support to his friend.,He was thinking of his friend's words.,cause,1,17,False
The accident was my fault.,I felt guilty.,I filed a complaint.,effect,0,18,False
The chain broke.,The chain was mounted on a wheel.,There was a broken link in the chain.,cause,1,19,False
The couple had decided to compromise.,They were bored with arguing.,They avoided discussing the problem.,cause,0,20,False
The woman decided to run for public office.,He hired an election campaign manager.,He testified in court.,effect,0,21,False
The man had expected low temperatures during his journey.,He had packed warm clothing.,He was traveling with a large suitcase.,effect,0,22,False
The student knew the answer to the question.,He raised his hand.,Leisure.,effect,0,23,False
The man's eyes filled with tears.,Dust had gotten into his eyes.,He had been wearing goggles.,cause,0,24,False
The player won five games in a row.,Her opponent accused her of cheating.,Her opponent felt sorry for her.,effect,0,25,False
The teacher tore off the student's exam.,He caught the student copying.,The student's answers were wrong.,cause,0,26,False
I paused to stop talking.,I lost my voice.,I gasped.,cause,1,27,True
Frozen food thawed.,I put it in the microwave.,I covered it with cling film.,cause,0,28,False
